comid,tocomid,water,snow,developed_op,developed_lw,developed_md,developed_hg,barren,forest_dcd,forest_evg,forest_mxd,shrub,grass,pasture,crops,wetland_wood,wetland_herb,basin,forest_scp,grass_scp,shrub_scp,water_scp,human_scp,barren_scp,ht,hmax,hrel,simpson_d
24127541,24127531,0,0,6.5,2.99,0,0,0,1.4,55.17,0,22.55,8.84,0,0,2.53,0,yakima,56.57,8.84,22.55,2.53,9.49,0,1.715563246,2.584962501,0.663670458,0.6116726
24127543,24129763,0,0,0,0,0,0,0,0,97.13,0,2.51,0.37,0,0,0,0,yakima,97.13,0.37,2.51,0,0,0,0.204254661,2.584962501,0.079016489,0.05593261
24127545,24127547,0,0,2.58,0.25,0,0,0,0,87.15,0,7.62,2.2,0,0,0.19,0,yakima,87.15,2.2,7.62,0.19,2.83,0,0.739734767,2.584962501,0.286168471,0.23339281
24127547,24127553,0,0,2.84,1.28,0,0,0,0,83.75,0,6.19,2.15,0,0,3.8,0,yakima,83.75,2.15,6.19,3.8,4.12,0,0.950723891,2.584962501,0.367790206,0.29115845
24127549,24125643,0,0,3.16,0.63,0,0,0.08,0.06,76.85,0,12.17,6.01,0,0,1.04,0,yakima,76.91,6.01,12.17,1.04,3.79,0.08,1.160583201,2.584962501,0.448974869,0.38851708
24127551,24127585,0,0,6.13,1.75,0,0,0,0,87.05,0,4.88,0,0,0,0.19,0,yakima,87.05,0,4.88,0.19,7.88,0,0.692822971,2.584962501,0.268020511,0.23363526
24127553,24127585,0,0,2.72,1.12,0,0,0,0,83.12,0,6.71,1.67,0,0,4.67,0,yakima,83.12,1.67,6.71,4.67,3.84,0,0.968897337,2.584962501,0.374820655,0.30066981
24127555,24129781,0,0,4.93,1.5,0.03,0,1.77,1.02,59.53,0.32,20.51,9.12,0,0,1.26,0,yakima,60.87,9.12,20.51,1.26,6.46,1.77,1.65767428,2.584962501,0.641275949,0.57445565
24127557,24127549,0,0,2.38,0.18,0,0,0,0,78.04,0,11.82,7.29,0,0,0.3,0,yakima,78.04,7.29,11.82,0.3,2.56,0,1.079254652,2.584962501,0.417512692,0.37102583
24127559,24127593,0,0,0.72,0.22,0,0,0.22,0,83.17,0,8.52,5.22,0,0,1.93,0,yakima,83.17,5.22,8.52,1.93,0.94,0.22,0.938829542,2.584962501,0.363188844,0.29782554
24127561,24127593,0,0,3.1,0.97,0,0,1.32,0,79.06,0,5.37,9.84,0,0,0.34,0,yakima,79.06,9.84,5.37,0.34,4.07,1.32,1.122000855,2.584962501,0.43404918,0.3605431
24127563,24127547,0,0,2.41,1.88,0,0,0,0,81.42,0,5.97,2.7,0,0,5.63,0,yakima,81.42,2.7,5.97,5.63,4.29,0,1.05350275,2.584962501,0.407550496,0.32777517
24127565,24125561,0,0,0.2,7.47,0.87,0.17,1.71,0.28,82.56,0,6.19,0.03,0,0,0.53,0,yakima,82.84,0.03,6.19,0.53,8.71,1.71,0.924154605,2.584962501,0.357511803,0.30201483
24127567,24127497,0,0,3.81,2.82,0,0,0,0,70.12,0,21.42,1.34,0,0,0.49,0,yakima,70.12,1.34,21.42,0.49,6.63,0,1.215767924,2.584962501,0.470323234,0.45783766
24127569,24127571,0,0,7.36,4.65,0,0,0.85,0.18,52.24,0,20.04,14.65,0,0,0.04,0,yakima,52.42,14.65,20.04,0.04,12.01,0.85,1.789322409,2.584962501,0.692204397,0.64909553
24127571,24129757,0,0,7.46,4.56,0,0,1.08,0.18,51.68,0,19.74,14.72,0,0,0.32,0.28,yakima,51.86,14.72,19.74,0.6,12.02,1.08,1.842380675,2.584962501,0.712730136,0.65581876
24127573,24127553,0,0,2.4,0.67,0,0,0,0,81.3,0,8.22,0.33,0,0,7.08,0,yakima,81.3,0.33,8.22,7.08,3.07,0,0.991081715,2.584962501,0.383402744,0.32630814
24127575,24127607,0,0,0.75,0.6,0,0,0.42,0.15,61.71,0,24.44,9.85,0,0,2.08,0,yakima,61.86,9.85,24.44,2.08,1.35,0.42,1.4880097,2.584962501,0.57564073,0.5472679
24127577,24125739,0,0,0.78,0.35,0,0,0,0.11,59.34,0,23.55,13.21,0,0,2.67,0,yakima,59.45,13.21,23.55,2.67,1.13,0,1.53573122,2.584962501,0.594101933,0.57281851
24127579,24125641,0,0,1.31,0.33,0,0,0,0.27,46.59,0,39.46,8.94,0,0,3.11,0,yakima,46.86,8.94,39.46,3.11,1.64,0,1.606204335,2.584962501,0.621364656,0.61547635
24127581,24127557,0,0,10.07,0.79,0,0,0,0,77.2,0,11.94,0,0,0,0,0,yakima,77.2,0,11.94,0,10.86,0,1.002139364,2.584962501,0.387680426,0.37796568
