comid,logQ_m3_div_s,logRT_vertical_hz_s_fill,junk,doc,logq_hz_vertical_m_div_s_fill,logw_m,LengthKM,no3,do
23796537,-0.069532924,3.286721913,1.35653829,2.306642422,-3.469303729,0.64238993,0.796,0.694064815,10.49622427
23796539,-0.163458331,3.704487227,1.224035553,2.13894065,-3.951483402,0.574874681,2.241,0.636962377,10.49214567
23796541,-0.278488869,4.068833052,1.081736054,0.885234873,-4.39915259,0.502367604,5.609,0.595164898,11.43012159
23796543,0.775028695,4.067323418,2.107877523,2.612365288,-3.883388952,1.025226216,6.488,0.542088301,10.86779425
23796545,0.725330964,3.424930334,2.04211617,2.678203002,-3.192194223,0.991718273,0.698,0.522388764,10.97222082
23796547,0.522082755,3.501767746,1.825634451,2.086293384,-3.44994019,0.881412497,1.804,0.493421602,11.11674554
23796549,0.494895931,3.477267034,1.790009155,2.075321787,-3.446264513,0.863260036,0.348,0.492962868,11.29871379
23796551,0.313495658,3.350495235,1.604443146,1.851281871,-3.394474248,0.768707006,1.243,0.473949922,11.37518967
23796553,0.215839631,2.999943292,1.506423848,0.993690191,-3.095840899,0.718762397,0.554,0.46482344,11.41113055
23796555,0.170405387,3.629805415,1.450660107,1.16800577,-3.758298586,0.690348623,2.434,0.44734099,11.46041158
23796557,0.042942427,3.49068564,1.278463212,1.233383164,-3.703789581,0.60260767,1.923,0.446894739,11.67466962
23796559,-0.285978921,3.82384742,0.906841244,1.590797651,-4.244705282,0.41325196,4.654,0.380143256,11.83718437
23796561,-0.361196485,3.397484552,0.851649649,1.157890717,-3.837961237,0.385129716,1.627,0.491137377,11.63031025
23796563,-0.723308697,3.142584925,0.494446809,1.273272787,-3.78728896,0.203121108,0.92,0.596064123,11.98003938
23796565,-1.11836431,3.465342397,0.116806916,1.29969936,-4.312030806,0.010699033,1.854,0.40043381,12.03655083
23796567,0.267243958,3.717283506,1.62207822,2.802370288,-3.754083699,0.777692755,2.51,0.570101597,11.19558259
23796569,0.170455224,3.940651225,1.48542754,2.799553487,-4.0498187,0.708063969,4.59,0.480495661,10.77156411
